code,label,label_id
"function insertionSort(arr) {
    for (let i = 1; i < arr.length; i++) {
        let key = arr[i];
        let j = i - 1;
        while (j >= 0 && arr[j] > key) {
            arr[j+1] = arr[j];
            j--;
        }
        arr[j+1] = key;
    }
    return arr;
}
",On2,4
"def merge_sort(arr):
    if len(arr) <= 1:
        return arr
    mid = len(arr) // 2
    left = merge_sort(arr[:mid])
    right = merge_sort(arr[mid:])
    merged = []
    i = j = 0
    while i < len(left) and j < len(right):
        if left[i] <= right[j]:
            merged.append(left[i]); i += 1
        else:
            merged.append(right[j]); j += 1
    merged.extend(left[i:]); merged.extend(right[j:])
    return merged
",Onlogn,3
"function selectionSort(arr) {
    for (let i = 0; i < arr.length; i++) {
        let minIdx = i;
        for (let j = i + 1; j < arr.length; j++) {
            if (arr[j] < arr[minIdx]) minIdx = j;
        }
        const tmp = arr[i]; arr[i] = arr[minIdx]; arr[minIdx] = tmp;
    }
    return arr;
}
",On2,4
"def sum_list(arr):
    total = 0
    for x in arr:
        total += x
    return total
",On,2
"def is_even(n):
    return n % 2 == 0
",O1,0
"def power_of_two(n):
    count = 0
    while n > 1:
        n //= 2
        count += 1
    return count
",Ologn,1
"def binary_search(arr, target):
    lo, hi = 0, len(arr) - 1
    while lo <= hi:
        mid = (lo + hi) // 2
        if arr[mid] == target:
            return mid
        elif arr[mid] < target:
            lo = mid + 1
        else:
            hi = mid - 1
    return -1
",Ologn,1
"def bubble_sort(arr):
    n = len(arr)
    for i in range(n):
        for j in range(0, n - i - 1):
            if arr[j] > arr[j+1]:
                arr[j], arr[j+1] = arr[j+1], arr[j]
    return arr
",On2,4
"def add(a, b):
    return a + b
",O1,0
"function binarySearch(arr, target) {
    let lo = 0, hi = arr.length - 1;
    while (lo <= hi) {
        const mid = Math.floor((lo + hi) / 2);
        if (arr[mid] === target) return mid;
        if (arr[mid] < target) lo = mid + 1;
        else hi = mid - 1;
    }
    return -1;
}
",Ologn,1
"def reverse_list(arr):
    out = []
    for i in range(len(arr) - 1, -1, -1):
        out.append(arr[i])
    return out
",On,2
"def find_max(arr):
    best = arr[0]
    for x in arr[1:]:
        if x > best:
            best = x
    return best
",On,2
"def heap_sort(arr):
    import heapq
    h = list(arr)
    heapq.heapify(h)
    out = []
    while h:
        out.append(heapq.heappop(h))
    return out
",Onlogn,3
"def has_pair_with_sum(arr, target):
    for i in range(len(arr)):
        for j in range(i+1, len(arr)):
            if arr[i] + arr[j] == target:
                return True
    return False
",On2,4
"public class Solution {
    public int square(int n) {
        return n * n;
    }
}
",O1,0
"public class Solution {
    public void bubbleSort(int[] arr) {
        for (int i = 0; i < arr.length - 1; i++) {
            for (int j = 0; j < arr.length - 1 - i; j++) {
                if (arr[j] > arr[j+1]) {
                    int t = arr[j]; arr[j] = arr[j+1]; arr[j+1] = t;
                }
            }
        }
    }
}
",On2,4
"def climb_stairs_naive(n):
    if n <= 1:
        return 1
    return climb_stairs_naive(n-1) + climb_stairs_naive(n-2)
",O2n,5
"def k_largest(arr, k):
    arr_sorted = sorted(arr, reverse=True)
    return arr_sorted[:k]
",Onlogn,3
"public class Solution {
    public int log2(int n) {
        int r = 0;
        while (n > 1) { n >>= 1; r++; }
        return r;
    }
}
",Ologn,1
"def int_log2(n):
    result = 0
    while n > 1:
        n >>= 1
        result += 1
    return result
",Ologn,1
"function fib(n) {
    if (n < 2) return n;
    return fib(n - 1) + fib(n - 2);
}
",O2n,5
"function joinWithSpaces(words) {
    let result = '';
    for (let i = 0; i < words.length; i++) {
        result += words[i];
        if (i < words.length - 1) result += ' ';
    }
    return result;
}
",On,2
"public class Solution {
    public int sum(int[] arr) {
        int total = 0;
        for (int x : arr) total += x;
        return total;
    }
}
",On,2
"def get_first(arr):
    if not arr:
        return None
    return arr[0]
",O1,0
"function powerSet(arr) {
    if (arr.length === 0) return [[]];
    const rest = powerSet(arr.slice(1));
    return rest.concat(rest.map(s => [arr[0], ...s]));
}
",O2n,5
"def subsets(arr):
    if not arr:
        return [[]]
    rest = subsets(arr[1:])
    return rest + [[arr[0]] + s for s in rest]
",O2n,5
"import java.util.Arrays;
public class Solution {
    public int[] sortAsc(int[] arr) {
        Arrays.sort(arr);
        return arr;
    }
}
",Onlogn,3
"def fib(n):
    if n < 2:
        return n
    return fib(n-1) + fib(n-2)
",O2n,5
"function countDigits(n) {
    let count = 0;
    while (n > 0) {
        n = Math.floor(n / 10);
        count++;
    }
    return count;
}
",Ologn,1
"public class Solution {
    public int[] twoSumBrute(int[] nums, int target) {
        for (int i = 0; i < nums.length; i++) {
            for (int j = i+1; j < nums.length; j++) {
                if (nums[i] + nums[j] == target) return new int[]{i, j};
            }
        }
        return new int[]{-1, -1};
    }
}
",On2,4
"function sortAndSum(arr) {
    arr.sort((a, b) => a - b);
    let total = 0;
    for (let i = 0; i < arr.length; i++) total += arr[i];
    return total;
}
",Onlogn,3
"public class Solution {
    public boolean inRange(int x, int lo, int hi) {
        return x >= lo && x <= hi;
    }
}
",O1,0
"public class Solution {
    public boolean contains(int[] arr, int target) {
        for (int x : arr) if (x == target) return true;
        return false;
    }
}
",On,2
"public class Solution {
    public int binarySearch(int[] arr, int target) {
        int lo = 0, hi = arr.length - 1;
        while (lo <= hi) {
            int mid = lo + (hi - lo) / 2;
            if (arr[mid] == target) return mid;
            if (arr[mid] < target) lo = mid + 1;
            else hi = mid - 1;
        }
        return -1;
    }
}
",Ologn,1
"import java.util.Arrays;
public class Solution {
    public boolean hasDuplicate(int[] arr) {
        Arrays.sort(arr);
        for (int i = 1; i < arr.length; i++) {
            if (arr[i] == arr[i-1]) return true;
        }
        return false;
    }
}
",Onlogn,3
"def stack_push(stack, value):
    stack.append(value)
    return len(stack)
",O1,0
"def hanoi(n, src, dst, tmp):
    if n == 0:
        return
    hanoi(n-1, src, tmp, dst)
    hanoi(n-1, tmp, dst, src)
",O2n,5
"function swap(arr, i, j) {
    const tmp = arr[i];
    arr[i] = arr[j];
    arr[j] = tmp;
}
",O1,0
